,filename,par1,par2,par3,par4,par5,total
0,E (1).jpg,1.1076821698242894,1.8164678790321496,1.5342935098762047,1.5478245492234388,1.1511386503404757,7.157406758296558
1,E (10).jpg,1.187684019732584,1.1178819634333645,1.6677667767974542,1.6663919791218813,1.238934034504854,6.878658773590137
2,E (11).jpg,0.9124245107511134,1.688723730983262,1.4670139118100478,1.5257639402756686,1.3228794607426027,6.9168055545626945
3,E (2).jpg,1.1088962407808745,1.40347122842453,1.578061139290874,1.578061139290874,1.043266770016397,6.711756517803549
4,E (3).jpg,1.0712611083248929,1.3574096565185307,1.7248352644071272,1.5884196306634226,1.2014480217609451,6.9433736816749185
5,E (4).jpg,1.137528852879748,1.337696797220321,1.5615236675707358,1.635517388189995,1.126457368202332,6.798724074063132
6,E (5).jpg,0.9842015721124856,1.1167910378500636,1.6537964611894462,1.8107149208503706,1.088209191994737,6.6537131839971035
7,E (6).jpg,1.0060991213771648,1.4057476993533116,1.4957989648326846,1.376041832307563,1.1613235546820844,6.4450111725528085
8,E (7).jpg,0.9400655330457933,1.350130202054602,1.6660240344211972,1.6666666666666667,1.1695971346121856,6.792483570800445
9,E (8).jpg,0.9155739507265883,1.34703275296819,1.4939075127504917,1.4907119849998596,1.216624018586641,6.4638502200317705
10,E (9).jpg,1.1897365633945094,1.1380597767260128,1.585385578577917,1.6031219541881399,1.2205088504114108,6.736812723297989
11,W (1).jpg,0.8285419175826383,1.4573207552847738,1.5108351832081726,1.437315334545583,1.1192608866713927,6.353274077292561
12,W (10).jpg,1.1840046123103725,1.2890383038564093,1.6512737545075287,1.6825326819708488,1.1160927838333239,6.9229421364784836
13,W (2).jpg,0.9398059674700201,1.3141064709503048,1.520085056454458,1.584186560611953,1.1109809100284846,6.469164965515221
14,W (3).jpg,0.9985511808259326,1.004792350553899,1.423158121072342,1.4119406623323707,1.201456497404767,6.039898812189312
15,W (4).jpg,0.8104004636387447,1.3130658825185886,1.5751534250169315,1.5595187608464667,1.299602521757859,6.5577410537785905
16,W (5).jpg,1.0327502281325651,1.3611551575157985,1.470993720447939,1.4785827324000926,1.1461683659379729,6.489650204434368
17,W (6).jpg,0.9370148453198388,1.5033296378372911,1.652277365275963,1.6573796235307243,1.2874852242720738,7.0374866962358915
18,W (7).jpg,0.9356917009964285,1.2128898841617368,1.6928634258728217,1.701306687356646,1.3190498627716942,6.861801561159327
19,W (8).jpg,1.0798303906958358,1.297891027159798,1.3872001745690217,1.4096520617391042,1.1188191886983203,6.29339284286208
20,W (9).jpg,0.9164572059178587,1.0908603009959903,1.7697364205339516,1.7205149205956842,1.1995711222957974,6.697139970339283
